               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  69,            0.038688,            0.026908,           0.0054013,             0.89791,             0.53704,             0.64281,             0.36992,            0.031872,            0.016728,           0.0038962,             0.00796,             0.00796,             0.00796
                  70,            0.038229,            0.026917,           0.0057295,             0.90706,             0.50637,             0.64145,             0.37917,            0.031303,            0.016248,           0.0045853,             0.00793,             0.00793,             0.00793
                  71,            0.038565,            0.024635,           0.0053432,             0.92075,             0.52244,             0.63598,             0.37331,            0.031421,            0.016184,           0.0036742,              0.0079,              0.0079,              0.0079
                  72,            0.037879,            0.027144,           0.0050289,             0.93411,             0.50181,             0.61623,             0.36254,            0.031346,            0.016093,           0.0037466,             0.00787,             0.00787,             0.00787
                  73,            0.037471,             0.02579,           0.0050026,             0.57828,              0.6649,             0.66937,              0.4068,            0.031597,            0.015785,           0.0038731,             0.00784,             0.00784,             0.00784
                  74,             0.03842,            0.024631,           0.0054797,              0.6216,             0.62948,             0.66029,             0.39364,            0.032178,            0.015773,           0.0039182,             0.00781,             0.00781,             0.00781
                  75,            0.038714,            0.025954,           0.0053611,             0.66915,             0.66009,             0.68655,             0.41167,            0.031335,            0.016103,           0.0041055,             0.00778,             0.00778,             0.00778
                  76,            0.037026,            0.025081,           0.0050155,             0.90576,             0.53849,             0.68013,             0.40237,            0.030907,             0.01574,           0.0039147,             0.00775,             0.00775,             0.00775
                  77,            0.037238,            0.025052,           0.0050724,             0.54209,             0.66098,             0.66436,             0.38649,            0.032221,            0.015577,           0.0036732,             0.00772,             0.00772,             0.00772
                  78,            0.037902,            0.025967,           0.0052089,              0.5978,             0.62422,             0.67003,             0.40299,              0.0313,            0.015543,           0.0040385,             0.00769,             0.00769,             0.00769
                  79,            0.036915,            0.024413,           0.0048169,              0.9076,             0.54463,             0.65812,             0.38409,            0.030944,            0.015599,           0.0037983,             0.00766,             0.00766,             0.00766
