               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.038744,            0.027826,           0.0052291,             0.90658,              0.5229,             0.63301,             0.38456,            0.026851,            0.020811,           0.0038734,             0.00736,             0.00736,             0.00736
                  90,            0.038535,            0.025319,           0.0047851,             0.91146,             0.53172,             0.68318,             0.41711,             0.02635,            0.020609,           0.0037511,             0.00733,             0.00733,             0.00733
                  91,            0.038717,            0.028001,           0.0049406,             0.58613,             0.70326,              0.7149,              0.4425,            0.025695,            0.020484,           0.0036131,              0.0073,              0.0073,              0.0073
                  92,            0.037888,            0.025935,           0.0053375,             0.90865,             0.54427,             0.66789,             0.41145,            0.025353,             0.02029,            0.003798,             0.00727,             0.00727,             0.00727
                  93,            0.037184,            0.026956,           0.0059556,             0.91996,             0.53256,             0.67455,             0.41496,            0.026042,            0.020608,           0.0037264,             0.00724,             0.00724,             0.00724
                  94,            0.036374,             0.02747,           0.0050917,             0.89991,             0.53864,             0.67698,             0.42296,             0.02508,            0.021114,           0.0036995,             0.00721,             0.00721,             0.00721
                  95,            0.037569,            0.027268,           0.0047602,             0.55265,             0.69879,             0.70372,             0.43516,            0.025717,            0.020364,           0.0035393,             0.00718,             0.00718,             0.00718
                  96,             0.03885,            0.024293,           0.0058759,             0.90676,             0.55379,             0.71074,             0.43621,            0.025716,            0.020832,            0.003526,             0.00715,             0.00715,             0.00715
                  97,             0.03818,            0.026875,           0.0053682,              0.5059,             0.74509,             0.71547,             0.44735,            0.024772,            0.020389,           0.0035849,             0.00712,             0.00712,             0.00712
                  98,            0.037219,            0.025518,           0.0049334,             0.57819,             0.70989,               0.711,             0.44223,            0.025118,            0.020135,           0.0033342,             0.00709,             0.00709,             0.00709
                  99,            0.036932,             0.02207,           0.0050605,             0.60016,             0.67238,             0.70514,             0.43979,            0.024968,            0.020021,           0.0034734,             0.00706,             0.00706,             0.00706
                 100,            0.036197,            0.025626,            0.004742,             0.64337,             0.67878,             0.71066,             0.44757,            0.025103,            0.020187,           0.0035764,             0.00703,             0.00703,             0.00703
                 101,            0.037566,            0.027301,           0.0050223,             0.57499,             0.70763,             0.72273,             0.45575,            0.024887,            0.020181,           0.0034148,               0.007,               0.007,               0.007
                 102,            0.037786,            0.025259,           0.0048944,             0.91239,             0.54415,             0.68339,             0.42244,            0.025712,            0.020823,           0.0034226,             0.00697,             0.00697,             0.00697
                 103,            0.035722,            0.024543,           0.0046978,             0.91242,             0.54804,             0.71955,             0.44869,            0.024814,            0.020604,           0.0033012,             0.00694,             0.00694,             0.00694
                 104,             0.03608,            0.025791,           0.0048341,             0.56362,              0.7257,             0.72489,             0.45282,            0.024793,            0.020052,           0.0033408,             0.00691,             0.00691,             0.00691
