,title,link,channel,views,time_published,snippet,verified_badge,extensions
33,You’re Wearing Your SLAPMASK Wrong,https://www.youtube.com/watch?v=YdUKusMHhjM,"{'channel_name': 'CREATIVEreviews', 'channel_link': 'https://www.youtube.com/user/CreativeReviewsP'}",3.7K views,1 year ago,Today I show you the real way to wear your SLAPMASK Cash App For Support: $MATT8B9 https://cash.app/$MATT8B9 Join ...,,4K
34,Dos and Don'ts of wearing masks,https://www.youtube.com/watch?v=ZIUBaUeuPA4,"{'channel_name': 'The Hindu', 'channel_link': 'https://www.youtube.com/c/TheHinduOfficial'}",26K views,2 years ago,"But if you have to step out, there is nothing wrong in wearing masks A major reason for recommending masks is that one can ...",True,
35,CAMPUS VOICES: Do you often see masks worn incorrectly on campus?,https://www.youtube.com/watch?v=hcpGrbFXzds,"{'channel_name': 'Montclarion Video', 'channel_link': 'https://www.youtube.com/channel/UCNv0CtAypQGiRDfYwmcedKA'}",19 views,7 months ago,Asking for students opinions on how other's on campus have been wearing their masks. Filmed and Edited by: Olivia A. Licini.,,
36,COVID-19 & Mask Myths DEBUNKED!,https://www.youtube.com/watch?v=npXP5wqNzaI,"{'channel_name': 'Be Smart', 'channel_link': 'https://www.youtube.com/c/itsokaytobesmart'}",739K views,1 year ago,,True,CC
37,The REAL REASON the NFL Banned these AWESOME Customized Face Masks,https://www.youtube.com/watch?v=w3VkJ97AcCc,"{'channel_name': 'TPS', 'channel_link': 'https://www.youtube.com/user/TotalProSportsDotCom'}",2.5M views,1 year ago,"NFLHelmets #NFLFaceMasks #BannedNFL If you're new, Subscribe! → http://bit.ly/Subscribe-to-TPS Like there was something ...",True,
38,Masks should only be worn by the sick,https://www.youtube.com/watch?v=Ed6uDDHzYnU,"{'channel_name': 'govsg', 'channel_link': 'https://www.youtube.com/c/govsingapore'}",6.8K views,2 years ago,"Singaporeans who are well should observe proper personal hygiene practices, such as frequent hand washing with soap. At the ...",True,
39,Know How to Wear Your Face Mask Correctly,https://www.youtube.com/watch?v=dSvff0QljHQ,"{'channel_name': 'Centers for Disease Control and Prevention (CDC)', 'channel_link': 'https://www.youtube.com/c/CDC'}",270K views,1 year ago,,True,CC
40,How to Properly Wear a Face Mask | UC San Diego Health,https://www.youtube.com/watch?v=eDHCzVgIHnM,"{'channel_name': 'UC San Diego Health', 'channel_link': 'https://www.youtube.com/c/UCSDHealth'}",134K views,1 year ago,,,CC
41,Let's Hang Out With A PO BOX HAUL,https://www.youtube.com/watch?v=J67UjHVmwRo,"{'channel_name': 'Novympia', 'channel_link': 'https://www.youtube.com/c/Novympia'}",6.7K views,8 hours ago,Get Surfshark VPN at https://surfshark.deals/novympia - Enter promo code NOVYMPIA for 83% off and three extra months for free!,True,New
42,"CDC: Fully-vaccinated people don't need to mask, physically distance in most cases",https://www.youtube.com/watch?v=S-2nE6AK1OU,"{'channel_name': 'CNBC Television', 'channel_link': 'https://www.youtube.com/c/CNBCtelevision'}",193K views,1 year ago,The White House and the CDC hold a Covid briefing to announce how fully-vaccinated people may only need to wear masks ...,True,CC
43,Wearing Masks Isn’t “Defiant” #shorts,https://www.youtube.com/shorts/8Gixk7ikak4,"{'channel_name': 'Foundation for Economic Education', 'channel_link': 'https://www.youtube.com/c/FEEonline'}",62K views,2 weeks ago,"Masks on airplanes are now optional! If you still wish to wear one, go ahead, but don't claim defiance while doing so.",,
44,Face mask exempt? Don’t go to M&S!,https://www.youtube.com/watch?v=6gu4sxWUiBM,"{'channel_name': 'Edward Wyatt', 'channel_link': 'https://www.youtube.com/user/FolkBluesTrain'}",3.2K views,1 year ago,Over zealous staff at Marks and Spencer insisting I prove I'm exempt from wearing a face mask. This is against the rules and could ...,,
45,How to properly wear an oxygen mask and hypoxia symptoms,https://www.youtube.com/watch?v=0XUQQOAvGeo,"{'channel_name': 'News Direct', 'channel_link': 'https://www.youtube.com/c/NextAnimationNews'}",2.7K views,3 years ago,"RESTRICTIONS: Broadcast: NO USE JAPAN, NO USE TAIWAN Digital: NO USE JAPAN, NO USE TAIWAN Southwest Airlines ...",,
46,"Pandemic mask wearing, rights and wrongs",https://www.youtube.com/watch?v=PGKz2pVppzU,"{'channel_name': 'The Providence Journal', 'channel_link': 'https://www.youtube.com/user/ProvidenceJournal'}",727 views,1 year ago,,True,
47,Manitoba's Pandemic: What went wrong and how do we make things right again?,https://www.youtube.com/watch?v=9l52CWsUGTE,"{'channel_name': 'WinnipegFreePress', 'channel_link': 'https://www.youtube.com/user/WinnipegFreePress'}",2.1K views,Streamed 1 year ago,24:58 ... about the preventive measures and that we need to wear a mask we didn't put a mandate in every state to wear a mask we did ...,,
48,Why Batman's Costume Actually Makes No Sense,https://www.youtube.com/watch?v=KCB4yFg8nQM,"{'channel_name': 'Looper', 'channel_link': 'https://www.youtube.com/c/looper'}",61K views,2 months ago,One of the coolest things about a new Batman movie has always been getting to see a new Batsuit in action. There's some things ...,True,CC
49,"How To Wear Face Masks Properly, And How To Clean Them | TODAY",https://www.youtube.com/watch?v=MNsj-8wtqA8,"{'channel_name': 'TODAY', 'channel_link': 'https://www.youtube.com/c/TODAY'}",196K views,2 years ago,,True,CC
50,Why we wear a mask or face covering on planes and public transport,https://www.youtube.com/watch?v=uUS02tKZeu4,"{'channel_name': 'Unite against COVID-19', 'channel_link': 'https://www.youtube.com/c/UniteagainstCOVID19nz'}",2.9K views,1 year ago,,,CC
51,Coronavirus: Are you putting yourself at risk by wearing a mask? | Times Now i-report,https://www.youtube.com/watch?v=I1zWo5koOHM,"{'channel_name': 'TIMES NOW', 'channel_link': 'https://www.youtube.com/c/TimesNow'}",29K views,2 years ago,,True,
52,How to double mask - Dos and Don'ts,https://www.youtube.com/watch?v=UQnzjxIaFbU,"{'channel_name': 'IndianExpressOnline', 'channel_link': 'https://www.youtube.com/c/indianexpress'}",132K views,1 year ago,Studies by the US Centers for Disease Control found that wearing a double mask - cloth and surgical or disposable - reduces ...,True,
53,Walter Hates 2020 - Jeff Dunham’s Completely Unrehearsed Last-Minute Pandemic Holiday Special,https://www.youtube.com/watch?v=K7236x6kLv4,"{'channel_name': 'Comedy Central Stand-Up', 'channel_link': 'https://www.youtube.com/c/standup'}",3.9M views,1 year ago,Walter reveals what he's been up to in quarantine and how this year has weighed on him. Watch Jeff Dunham's Completely ...,,CC
54,LIVE CHAT - Bite Beauty Closing? What they did wrong!,https://www.youtube.com/watch?v=VJl804lze2Q,"{'channel_name': 'Jen Luv', 'channel_link': 'https://www.youtube.com/c/jenluvsreviews'}",14K views,Streamed 1 day ago,"Rumor has it that Bite Beauty is closing, but why? What did they do wrong? Let's talk about it. Temptalia has a great post with her ...",True,New
55,Putting Donald Trump Supporters Through an Ideology Test: The Daily Show,https://www.youtube.com/watch?v=Y4Zdx97A63s,"{'channel_name': 'The Daily Show with Trevor Noah', 'channel_link': 'https://www.youtube.com/c/TheDailyShow'}",11M views,5 years ago,"After Donald Trump proposes an ideology test for potential Muslim immigrants, Jordan Klepper quizzes the presidential hopeful's ...",True,CC
56,Unmasking the Truth About Wearing Masks,https://www.youtube.com/watch?v=EAMgcJivT0Y,"{'channel_name': 'University of Utah', 'channel_link': 'https://www.youtube.com/c/universityofutah'}",7.5K views,1 year ago,1:15 Do I still need to wear a mask? - [Narrator] You can be infected with COVID-19 and feel perfectly fine. So can others around you.,True,CC
57,Woman Who Won’t Wear Masks Explains Why | Extended Interview,https://www.youtube.com/watch?v=9t7o30mP8qI,"{'channel_name': 'Inside Edition', 'channel_link': 'https://www.youtube.com/c/InsideEdition'}",643K views,1 year ago,Health officials are concerned about a trend of anti-maskers invading businesses. Despite the many studies proving the ...,True,
58,Why Steve Jobs Wore The Same Outfit Everyday,https://www.youtube.com/watch?v=Qr2mlu292NQ,"{'channel_name': 'Apple Explained', 'channel_link': 'https://www.youtube.com/c/AppleExplained'}",1M views,1 year ago,"Steve Jobs is one of the most iconic entrepreneurs in history, thanks to his incredible ability to predict the future. But one of his ...",True,CC
59,HOW TO USE YOUR HEPA MASK,https://www.youtube.com/watch?v=iPgLawyrEwE,"{'channel_name': 'Stanford Health Care', 'channel_link': 'https://www.youtube.com/user/StanfordHospital'}",40K views,9 years ago,,,
60,Why all world maps are wrong,https://www.youtube.com/watch?v=kIID5FDi2JQ,"{'channel_name': 'Vox', 'channel_link': 'https://www.youtube.com/c/Vox'}",20M views,5 years ago,,True,CC
61,Mickey Mouse Clubhouse Legos with Wrong Heads,https://www.youtube.com/watch?v=X9tu0fz5U0Y,"{'channel_name': 'The Fizzy Show', 'channel_link': 'https://www.youtube.com/c/TheFizzyShow'}",13M views,4 years ago,,,
62,ALIE REVEALS SECRET Identity Underneath Her Wig,https://www.youtube.com/watch?v=3QPlf7lU8zc,"{'channel_name': 'Daniel Gizmo', 'channel_link': 'https://www.youtube.com/channel/UCmFzvquJYoSDFhd9W0JhZKw'}",11M views,1 year ago,"SHE'S WEARING A WIG! After Chad Wild Clay made ""SHE DOES NOT LOVE ME ANYMORE"", Vy Qwaint created ""THE END of ...",,
63,L.A. schools to require students to wear non-cloth face masks,https://www.youtube.com/watch?v=dOhBMoWT1C4,"{'channel_name': '23 ABC News | KERO', 'channel_link': 'https://www.youtube.com/c/Turnto23KERO'}",286 views,3 months ago,The Los Angeles Unified School District said it will prohibit students from wearing cloth masks as the highly transmissible omicron ...,True,CC
64,Is it true that wearing a mask for an extended period of time can be harmful?,https://www.youtube.com/watch?v=LmrX7XIOzDU,"{'channel_name': 'Click On Detroit | Local 4 | WDIV', 'channel_link': 'https://www.youtube.com/c/ClickOnDetroitLocal4WDIV'}",14K views,1 year ago,"Almost everyone in Michigan has worn a mask during the coronavirus (COVID-19) pandemic, but is there any truth to recent social ...",True,CC
