               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  75,            0.038143,            0.026152,           0.0054028,             0.91029,             0.54507,             0.64908,             0.39824,            0.025475,            0.020665,           0.0037226,             0.00778,             0.00778,             0.00778
                  76,            0.037938,            0.026832,           0.0051443,             0.92621,             0.53636,              0.6388,             0.39112,            0.025536,            0.020004,           0.0038745,             0.00775,             0.00775,             0.00775
                  77,            0.035566,            0.025275,           0.0051417,             0.92517,             0.51415,              0.6659,             0.41368,            0.025178,            0.020129,           0.0038263,             0.00772,             0.00772,             0.00772
                  78,            0.037429,            0.025056,           0.0048221,              0.9206,             0.54664,             0.66711,              0.4126,            0.025006,            0.020941,           0.0035492,             0.00769,             0.00769,             0.00769
                  79,            0.036536,            0.025488,           0.0044414,             0.91668,             0.53824,             0.65342,             0.40732,            0.024597,            0.019825,           0.0037449,             0.00766,             0.00766,             0.00766
                  80,             0.03723,            0.025286,           0.0047606,             0.93149,             0.53649,             0.68153,             0.42519,            0.024509,            0.020026,           0.0035285,             0.00763,             0.00763,             0.00763
                  81,            0.036212,            0.024273,           0.0047401,             0.91932,               0.552,             0.68218,             0.42277,            0.025023,            0.020214,           0.0034377,              0.0076,              0.0076,              0.0076
                  82,            0.036872,            0.025332,           0.0047347,             0.90862,             0.55352,              0.6717,             0.40467,            0.025126,            0.019479,           0.0034497,             0.00757,             0.00757,             0.00757
                  83,            0.036789,            0.025981,           0.0048835,             0.91279,             0.55417,             0.69735,             0.44536,              0.0241,            0.019628,           0.0033663,             0.00754,             0.00754,             0.00754
                  84,            0.035002,            0.025018,            0.004793,             0.92934,             0.54502,             0.68992,             0.43015,            0.024617,            0.019546,           0.0033425,             0.00751,             0.00751,             0.00751
                  85,            0.037256,            0.024675,           0.0045228,             0.53448,             0.68305,              0.6686,             0.41818,            0.024385,            0.019529,           0.0034073,             0.00748,             0.00748,             0.00748
                  86,            0.038195,             0.02711,           0.0043618,             0.53462,             0.75621,             0.72033,             0.45374,            0.024797,            0.019374,           0.0036081,             0.00745,             0.00745,             0.00745
